Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-OCT-2025|AADI|EQUITY|7786891760|8550|95129926|5063154262|13894996|41|1844078716|91637539|25276579|2126239|124475|7135422773|1150700|158642406|57172580|182596086|2080705|142348210|37719707|1562500|68196093|651468987
31-OCT-2025|AALI|EQUITY|1924688333|7800|63902516|27397624|5444095|49700|149693340|2737133|533006|3795112|4746727|258299253|1291100|15256622|24122267|19830523|1055252|32644466|28583889|190500|9523221|132497840
31-OCT-2025|ABBA|EQUITY|3935892857|59|0|2360190205|0|0|1072994578|0|469|71|0|3433185323|0|1320400|0|41020085|396600|0|1733900|0|0|44470985
31-OCT-2025|ABDA|EQUITY|620806680|2710|0|40248|0|98|431282|0|7500|498584|20|977732|538555304|21728234|0|28003600|400|0|4400|0|30499400|618791338
31-OCT-2025|ABMM|EQUITY|2753165000|2960|1660200|1484892233|86000|0|426746800|320000|1346112|0|0|1915051345|0|805279779|3659489|7133732|191900|10458667|4777209|0|6612879|838113655
31-OCT-2025|ACES|EQUITY|17120389700|444|473986300|10778415900|118051900|6200000|1848920391|281094969|13684651|15337214|11039900|13546731225|6591200|378841480|179124217|587232639|6446600|1188480706|165710343|0|1061131290|3573558475
31-OCT-2025|ACRO|EQUITY|3469199972|87|0|1778900|0|0|3315549103|0|69|0|0|3317328072|0|0|0|7689500|144077100|0|105300|0|0|151871900
31-OCT-2025|ACST|EQUITY|17675160000|130|0|16206616535|3500|0|1447521520|0|1151|0|80|17654142786|0|140|0|10039844|9087435|0|1873795|0|16000|21017214
31-OCT-2025|ADCP|EQUITY|22222222200|55|0|447853600|1200000|0|1563006000|0|11558700|400|170563000|2194181700|0|0|0|25315700|2508100|0|216700|0|0|28040500
31-OCT-2025|ADES|EQUITY|589896800|15900|0|2565200|0|350|42480777|10000|471|0|0|45056798|0|539011710|60300|4145264|113200|111500|392600|0|316000|544150574
31-OCT-2025|ADHI|EQUITY|8407608979|262|23514979|326168073|60602920|3000000|2291911953|904909|192296433|15300169|1004847|2914704283|0|1272761|440400|23126426|22511546|21796983|10371805|0|4600983|84120904
