No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
4,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
7,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
8,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
9,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.000.000.000,Pengembangan
10,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
11,ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,30.758.665.900,Utama
12,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
13,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
14,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
15,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
16,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pemantauan Khusus
17,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
18,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
19,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
20,AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
21,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
22,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
23,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
24,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
25,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
26,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
27,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
28,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
29,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
30,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
31,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
32,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
33,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
34,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
35,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
36,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
37,ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pemantauan Khusus
38,ARII,Atlas Resources Tbk.,08 Nov 2011,3.431.000.000,Pengembangan
39,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
40,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
41,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
42,ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
43,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
44,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
45,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
46,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
47,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
48,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
49,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
50,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.217.135.360,Pengembangan
51,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
52,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Pengembangan
53,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama
54,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
55,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
56,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
57,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
58,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
59,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus
60,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama
61,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
62,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
